constituency,name,party
Carnot 3,Jean Robert Gotao,P.G.D
Dede-Mokouba 1,Serge Alain Liguela Mboutou,MLPC
Gamboula 1,Tefal Kolou,MCU
Sosso-Nakombo 1,Achanga Bertrand Nakombo,MOUNI
Bangassou 1,Maurice Bazzambo-Ngbongo,INDÉPENDANT
Bangassou 2,Nzoungou Samuel,MCU
Gambo 1,Michel Kpingo,MCU
Ouango 1,Théophile Ngonda,ADP
Ouango 2,Rodrigue Yvon Brice Sialo Ngboda,RDC
Kaga-Bandoro 2,Arme Birot,MKMKS
Bimbo 1,Brice Rufin Molomadon,M.D.D
Bimbo 2,Henry Josée Gbogouda,INDÉPENDANT
Bimbo 3,Joseph Bendounga,MDREC
Bimbo 4,Virginie Baïkoua,MCU
Bimbo 5,Annie Molomadon Née Izoungou,MDD
Damara 1,Nestor Nali Mamadou,MCU
Bouca 2,Jean-Bosco Namtoua-Koussi Guidomon,MLPC
Paoua 1,Lucien Mbaîgoto,MOUNI
Paoua 2,Justin Dotar-Ganguenon,INDÉPENDANT
Paoua 3,Romain Penendji-Lami-Ya,MCU
Bambio 1,Aristide Goundissa,MCU
Nola 1,Pélagie Ngaïndiro Née Senzoure Yatrandji,KNK
Nola 3,Sylvain Bombo,INDÉPENDANT
Birao 1,Daniel Andal Djouma,INDÉPENDANT
Birao 2,Dekalve Chengaba Rossni,MCU
Ouanda-Djalle 1,Idriss Sende Adam,INDÉPENDANT
Yalinga 1,Richard Gonguere,MCU
Mala1,Marthe Lakonte-Gaomeda,MCU
Boganda 1,Michel Yembe,KNK
Carnot 1,Evariste Ngamana,Indépendant
Baboua 1,Laurent Ngon Baba,PAD
Baboua 2,Luc Ninga,MLPC
Baoro 1,Mathieu Simplice Sarandji,MCU
Bouar 3,Georges Yalakanga,KNK
Boali 1,Firmin Ngrebada,MCU
Bossangoa 1,Jean Barkes Ngombe-Kette,Indépendant
Bossangoa 3,Emilie Bernadette Gambo née Souaninzi,MCU
Bossangoa 4,Marie Brigitte Bozeze née Ouilibozoumna Nambeam,KNK
Markounda 1,Emilie Beatrice Epaye née Moundy,Indépendante
Nana-Bakassa 2,Florent Kema,KNK
Bocaranga 1,Anicet Georges Dologuele,URCA
Bocaranga 3,Martin Ziguele,MLPC
Bossemptélé 1,Jacques Ngaina,KNK
Ngaoundaye 1,Bernard Dillah,MLPC
Ngaoundaye 2,Antoine Koirokpi,MLPC
Ippy 1,Francis Rufin Ouatende,KNK
3eme arr 1,Zacharie Yaou MAFOUR,Indépendant PAD
3eme arr 2,MÉCKASSOUA Abdou Karim,CDE
Alindao 1,Virginie-Béatrice BANDÉKO,MCU
Alindao 2,Geoffroy Noël TAGBA,MCU
Mingala,Firmin ENDJIZÉMO,Ind
Zangba,Hissène HAMAT,Ind
Bria 2,Jacques TAFAGO,URCA
Ndjoukou,Jean-Claude KOMIA SAMBIA,Ind
Sibut,Félix YANGAKOLA,Ind
Boda,Narcisse DAMBALÉ,Ind
Boganangone,Patrice OFÉING ALI,KNK
Amada-Gaza,Ousmane GBALASSOUNDOU,KNK
Carnot 2,Vivien Hervé GABA,Ind
Kaga-Bandoro 1,Valérie Claude BIFANE,Ind
Kaga-Bandoro 3,Simon DANGAVO,
Mbrès,Thomas RABÉ,MOUNI
Abba,Marc ISSA,KNK
Bouar 1,Fleury Junior PABANDJI,MCU
Bouar 2,BE-YAMISSI SANA née Kambiri SALAMATOU,MCU
Bouar 4,Jonas DONON,PAD
Bogangolo,Jean Galvanis GASSIYOMBO,Ind
Bossembélé,William Séraphin WABEM MBETÉ,MOUNI
Yaloké 1,Auguste BOUKANGA,URD
Yaloké 2,Richard Steve TORANGA,MCU
Bambari 1,Rachel NGAKOLA,BTK
Bambari 2,Aubin AMASSEKA AMOUDOU,MCU
Bambari 3,Anatole NDEMAGOUDA GBAGO,MCU
Bambari 4,ALI SALEH,MCU
Ippy 2,Christophe Arsène WAPOU,MCU
Kouango 1,Barthelemy Louis-Marie ZOUMARA,Ind
Kouango 2,Sylvain MARANDJI,PS
Batangafo 1,Jean de Dieu DAMARASS-DAMANGUERÉ,MCU
Batangafo 2,DUCAS née TANDOUM Carmen,Ind
Bossangoa 2,Christiane DORAZZE SÉRÉFESSENE,Ind
Kabo 1,Chantal Merveille TOHOMANE,MCU
Kabo 2,Hugues Abdjaz NDOLINGAR,CDE
Nana-Bakassa 2,Sylvain-Eugène NGAKOUTOU-PATASSÉ,CANE
Nanga-Boguila,Auguste DOKOANE,Ind
Bocaranga 2,Fidèle PANDJIKANE,MCU
Koui,DAHIROU Mohamadou,MCU
Ngaoundaye 3,Ernest BONANG,URCA
Paoua 2,Timoléon MBAÏKOUA,PCDI
Paoua 5,Emmanuel MAMYA,MCU
