@@,name,area,item,psid
+++,KABRAL YANGASSENGUE Fidèle,PAOUA 3,,
+++,KETTE Percus,PAOUA 4,,
+++,MAMIA Emmanuel,PAOUA 5,,
+++,ZANGABEROU Benjamin,RAFAÏ,,
+++,NGBONDO René Constant,SATEMA,,
+++,DIMBELET NAKOE Mathurin,SOSSO-NAKOMBO,,
+++,GONGUERE Richard,YALINGA,,
+++,NDOGUIA Séverin,YALOKE 1,,
+++,BENGBA Timothée,YALOKE 2,,
+++,GOKIIRI NDORO 2 Jérémie,ZANGBA,,
+++,DALOUWAMBOLI Martin,ZEMIO,,
