@@,itemlabel,partylabel,startdate,enddate,item,psid
+++,Noël Komokoïna,PSD,2005-11,2005-11-22,,
+++,Odon Kondolas Kpékozoma,Indep.,2005-05-08,,,
+++,Ousman Ngbala Soundou,PDCA,2005-05-08,,,
+++,Patrice Edouard Ngaïssona,PDCA,2005-05-08,,,
+++,Paul Fidèle Georges Abouka,ADP,2005-05-08,,,
+++,Pierre Abraham Mbokani,PLD,2005-05-08,,,
+++,Pierre Marie Franck,Indep.,2005-05-08,,,
+++,Pierre Mboua,Indep. KNK,2005-05-08,,,
+++,Pierre Sélessoui,MLPC,2005-03-13,,,
+++,Pierre Yokongo,Indep.,2005-05-08,,,
+++,Pélados Gilbert Ngbafio,PAD,2005-05-08,,,
+++,René Constant Ngbondo,RDC,2005-03-13,,,
+++,Roger Fezokazoui,FND,2005-05-08,,,
+++,Roger Gbéda,MDD,2005-05-08,,,
+++,Rosalie Moussoukourou,Indep.,2005-03-13,,,
+++,Sallé Djibalbaye,Indep. KNK,2005-05-08,,,
+++,Samuel Shaba Kossi Nguérémbi,MDI,2005-05-08,,,
+++,Simon Pierre Goumba,MUPS - KNK,2005-05-08,,,
+++,Sylvestre Zama,Indep.,2005-05-08,,,
+++,Thierry Kamach,PNCN,2005-05-08,,,
+++,Thierry Yinifolo Vandenboss,PLD,2005-03-13,,,
+++,Thomas Nodié Yali,CSDC,2005-05-08,,,
+++,Thomas Poundassé Bandéko,FPP,2005-05-08,,,
+++,Théophile Sonny Colé,Indep.,2005-05-08,,,
+++,Toussaint Akondja,Indep.,2005-05-08,,,
+++,Victorien Yama Davy,PUN,2005-05-08,,,
+++,Yvon Dokoula,MLPC,2005-03-13,,,
+++,Yvonne Ndjapou,Indep.,2005-05-08,,,
+++,Émile Gros Nakombo,RDC,2005-05-08,,,
